Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7936425,More Money Than God: Hedge Funds and the Making of a New Elite,Sebastian Mallaby,"Mallaby, Sebastian",,"=""1594202559""","=""9781594202551""",0,4.10,Penguin Press,Hardcover,496,2010,2010,,2024/06/24,to-read,to-read (#470),to-read,,,,0,0
13152691,Freedom's Forge: How American Business Produced Victory in World War II,Arthur Herman,"Herman, Arthur",,"=""1400069645""","=""9781400069644""",0,4.30,Random House,Hardcover,432,2012,2012,,2024/06/23,to-read,to-read (#469),to-read,,,,0,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2024/06/23,to-read,to-read (#468),to-read,,,,0,0
16634,The Glass Bead Game,Hermann Hesse,"Hesse, Hermann","Richard Winston, Clara Winston, Theodore Ziolkowski","=""0312278497""","=""9780312278496""",0,4.10,Holt Paperbacks,Paperback,558,1998,1943,,2024/06/23,to-read,to-read (#467),to-read,,,,0,0
12927698,Raymond Chandler Omnibus: The Big Sleep / Farewell My Lovely / The High Window / The Lady in the Lake,Raymond Chandler,"Chandler, Raymond",,"=""""","=""""",0,4.47,Alfred A. Knopf/Hamish Hamilton,Hardcover,632,1966,1943,,2024/06/23,to-read,to-read (#466),to-read,,,,0,0
40929,The Rise of Theodore Roosevelt,Edmund Morris,"Morris, Edmund",,"=""0375756787""","=""9780375756788""",0,4.23,The Modern Library,Paperback,816,2001,1979,,2024/06/22,to-read,to-read (#465),to-read,,,,0,0
418380,Essence of Decision: Explaining the Cuban Missile Crisis,Graham T. Allison,"Allison, Graham T.",Philip Zelikow,"=""0321013492""","=""9780321013491""",0,4.04,Pearson,Paperback,416,1999,1971,,2024/06/22,to-read,to-read (#464),to-read,,,,0,0
2462426,The Great Illusion (Cosimo Classics),Norman Angell,"Angell, Norman",,"=""1602069387""","=""9781602069381""",0,3.59,Cosimo Classics,,396,2007,1909,,2024/04/14,currently-reading,currently-reading (#29),currently-reading,,,,1,0
276022,The Diversity Myth : Multiculturalism and Political Intolerance on Campus,David O. Sacks,"Sacks, David O.","Peter Thiel, Elizabeth Fox-Genovese","=""0945999763""","=""9780945999768""",0,3.88,Independent Institute,Paperback,320,1998,1996,2024/06/19,2024/06/19,,,read,,,,1,0
68630,Crusade: The Untold Story of the Persian Gulf War,Rick Atkinson,"Atkinson, Rick",,"=""0395710839""","=""9780395710838""",0,4.11,Mariner Books,Paperback,608,1994,1993,,2024/06/19,currently-reading,currently-reading (#28),currently-reading,,,,1,0
